AFGHANISTAN,AFGH
ALBANIA,ALB
ALGERIA,ALGR
ANDORRA,ANDO
ANGOLA,ANGL
ANGUILLA,ANGU
ANTIGUA AND BARBUDA,ANTI
ARGENTINA,ARG
ARMENIA,ARM
ARUBA,ARB
AUSTRALIA,ASTL
Australia,ASTL
AUSTRIA,AUST
AZERBAIJAN,AZR
BAHAMAS,BAMA
BAHRAIN,BAHR
BANGLADESH,BANG
BARBADOS,BRDO
BELARUS,BYS
BELGIUM,BELG
BELIZE,BLZ
BENIN,BENN
BERMUDA,BERM
BHUTAN,BHU
BOLIVIA,BOL
BOSNIA AND HERZEGOVINA,BIH
BOTSWANA,BOT
BRAZIL,BRZL
BRUNEI,BRNI
BULGARIA,BULG
BURKINA FASO,BURK
BURMA,BURM
BURUNDI,BRND
CAMBODIA,CBDA
CAMEROON,CMRN
CANADA,CAN
Canada,CAN
canada,CAN
Canada ,CAN
Canada ,CAN
CAPE VERDE,CAVI
CAYMAN ISLANDS,CAYI
CENTRAL AFRICAN REPUBLIC,CAFR
CHAD,CHAD
CHILE,CHIL
CHINA,CHIN
COLOMBIA,COL
COMOROS,COMO
CONGO BRAZZAVILLE,CONB
CONGO KINSHASA,COD
COSTA RICA,CSTR
COTE D’IVOIRE,IVCO
CROATIA,HRV
CUBA,CUBA
CYPRUS,CYPR
CZECH REPUBLIC,CZEC
DENMARK,DEN
DJIBOUTI,DJI
DOMINICA,DOMN
DOMINICAN REPUBLIC,DOMR
ECUADOR,ECUA
EGYPT,EGYP
EL SALVADOR,ELSL
EQUATORIAL GUINEA,EGN
ERITREA,ERI
ESTONIA,EST
ETHIOPIA,ETH
FIJI,FIJI
FINLAND,FIN
FRANCE,FRAN
GABON,GABN
GAMBIA,GAM
GEORGIA,GEO
GERMANY,GER
Germany,GER
germany,GER
GHANA,GHAN
GIBRALTAR,GIB
GREECE,GRC
GRENADA,GREN
GUATEMALA,GUAT
GUINEA,GNEA
GUINEA BISSAU,GUIB
GUYANA,GUY
HAITI,HAT
HOLY SEE,VAT
HONDURAS,HOND
HONG KONG,HOKO
HUNGARY,HUNG
ICELAND,ICLD
INDIA,IMD
INDONESIA,IDSA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRE
ISRAEL,ISRL
ITALY,ITLY
JAMAICA,JAM
JAPAN,JPN
JORDAN,JORD
KAZAKHSTAN,KAZ
KENYA,KENY
KIRIBATI,KIRI
KOREA – NORTH,PRK
KOREA – SOUTH,KOR
KUWAIT,KUWT
KYRGYZSTAN,KGZ
LAOS,LAOS
LATVIA,LATV
LEBANON,LEBN
LESOTHO,LES
LIBERIA,LIBR
LIBYA,LBYA
LIECHTENSTEIN,LCHT
LITHUANIA,LITH
LUXEMBOURG,LXM
MACAU,MAC
MACEDONIA,MKD
MADAGASCAR,MADG
MALAWI,MALW
MALAYSIA,MLAS
MALDIVES,MLDV
MALI,MALI
MALTA,MLTA
MAURITANIA,MAUR
MAURITIUS,MRTS
MEXICO,MEX
MOLDOVA,MLD
MONACO,MON
MONGOLIA,MONG
MONTSERRAT,MONT
MOROCCO,MORO
MOZAMBIQUE,MOZ
NAMIBIA,NAMB
NAURU,NAU
NEPAL,NEP
NETHERLANDS,NETH
Netherlands,NETH
NETHERLANDS ANTILLES,NETA
NEW CALEDONIA,NCAL
NEW ZEALAND,NZLD
NICARAGUA,NIC
NIGER,NIR
NIGERIA,NRA
NORWAY,NORW
OMAN,OMAN
PAKISTAN,PKST
PALAU,PALA
PANAMA,PAN
PAPUA NEW GUINEA,PNG
PARAGUAY,PARA
PERU,PERU
PHILIPPINES,PHIL
PITCAIRN ISLANDS,PITC
POLAND,POL
PORTUGAL,PORT
QATAR,QTAR
ROMANIA,ROM
RUSSIA,RUS
RWANDA,RWND
ST. HELENA,SHEL
ST. KITTS AND NEVIS,STCN
ST. LUCIA,SLCA
ST. VINCENT & THE GRENADINES,STVN
SAMOA,WSAM
SAN MARINO,SMAR
SAO TOME & PRINCIPE,STPR
SAUDI ARABIA,SARB
SENEGAL,SENG
SEYCHELLES,SEYC
SIERRA LEONE,SLEO
SINGAPORE,SING
SLOVAKIA,SVK
SLOVENIA,SVN
SOLOMON ISLANDS,SLMN
SOMALIA,SOMA
SOUTH AFRICA,SAFR
SPAIN,SPN
SRI LANKA,SRL
SUDAN,SUDA
SURINAME,SURM
SWAZILAND,SZLD
SWEDEN,SWDN
SWITZERLAND,SWTZ
Switzerland,SWTZ
SYRIA,SYR
TAIWAN,TWAN
TAJIKISTAN,TJK
TANZANIA,TAZN
THAILAND,THAI
TIMOR-LESTE,TMOR
TOGO,TOGO
TONGA,TONG
TRINIDAD AND TOBAGO,TRIN
TUNISIA,TNSA
TURKEY,TRKY
TURKMENISTAN,TKM
TURKS AND CAICOS ISLANDS,TCIS
TUVALU,TUV
UGANDA,UGAN
UKRAINE,UKR
UNITED ARAB EMIRATES,UAE
UNITED KINGDOM,GRBR
United Kingdom,GRBR
United kingdom,GRBR
UNITED STATES AMERICA,USA
United States,USA
usa,USA
Usa,USA
US,USA
USA ,USA
United States of America,USA
us,USA
united states,USA
United States ,USA
United states,USA
Us,USA
United States of America ,USA
U.S.,USA
U.S.A.,USA
united states of america,USA
Unites States,USA
america,USA
US of A,USA
u.s.,USA
America,USA
United State,USA
United Stated,USA
The United States,USA
United ststes,USA
Ahem....Amerca,USA
United Statss,USA
murrika,USA
Murica,USA
United staes,USA
USA! USA! USA!,USA
USA USA USA!!!!,USA
UD,USA
New Jersey,USA
Usa ,USA
California,USA
New York,USA
United Sates,USA
Pittsburgh,USA
usas,USA
URUGUAY,URU
UZBEKISTAN,UZB
VANUATU,VANU
VENEZUELA,VENZ
VIETNAM,VTNM
VIRGIN ISLANDS (BRITISH),BRVI
WALLIS AND FUTUNA,WAFT
WESTERN SAHARA,SSAH
YEMEN,YEM
YUGOSLAVIA,YUGO
ZAMBIA,ZAMB
ZIMBABWE,ZIMB
England,GRBR
UK,GRBR
canada ,CAN
Mexico,MEX
u.s.a.,USA
USAUSAUSA,USA
france,FRAN
finland,FIN
unhinged states,USA
uk,GRBR
North Carolina ,USA
Unied States,USA
Earth,USA
U S,USA
U.K.,GRBR
Costa Rica,RICA
The United States of America,USA
unite states,USA
46,USA
cascadia,USA
insanity lately,USA
Greece,GRC
USA? Hard to tell anymore..,USA
'merica,USA
45,USA
32,USA
France,FRAN
australia,ASTL
A,ASTL
Canae,CAN
Trumpistan,USA
Ireland,IRE
Korea,KOR
Japan,JPN
South africa,SAFR
I pretend to be from Canada, but I am really from the United States.,USA
Iceland,ICLD
Canada`,CAN
Scotland,GRBR
Denmark,DEN
Uk,GRBR
South Korea,KOR
Indonesia,IDSA
The Netherlands,NETH
endland,GRBR
Atlantis,USA
Alaska,USA
united States ,USA
soviet canuckistan,RUS
N. America,CAN
Singapore,SING
USSA,USA
China,CHIN
Taiwan,TWAN
Ireland ,IRE
hong kong,HOKO
spain,SPN
UK,GRBR
Sweden,SWDN
Hong Kong,HOKO
u s a,USA
United Statea,USA
united ststes,USA
subscribe to dm4uz3 on youtube,USA
1,USA
I don't know anymore,USA
Fear and Loathing,CAN
Europe,GRBR
U.K. ,GRBR
I pretend to be from Canada, but I am really from the United States.,USA
France ,FRAN
Scotland ,GRBR
Narnia, USA